id,name,street,city,state,zip,country,lat,lng,description,website,hours,contact_email,contact_phone,rules,booking_url,tags
my-haunted-manor-samuel-miller-mansion,My Haunted Manor USA (Samuel Miller Mansion),131 Locust St,Columbia,PA,17512,USA,40.0334,-76.5039,"Historic 19th-century mansion with ongoing paranormal activity. Live 24/7 cameras, public overnight ghost hunts under team guidance (filmed for series). Shared dorm cots.",https://www.myhauntedmanor.com/,"Scheduled public overnights (check-in ~8:30pm, investigation to 2am, checkout ~11am)",myhauntedmanor@gmail.com,,"18+ only|Waivers required|Equipment OK|Shared dorms|No damage",https://www.myhauntedmanor.com/book-now,mansion|overnight|ghost-hunt|paranormal-investigation
lizzie-borden-house,Lizzie Borden House,230 Second St,Fall River,MA,02721,USA,41.6989,-71.1562,"1892 axe murder site. Apparitions, footsteps, moving objects reported. Overnight ghost hunts and B&B stays.",https://lizzie-borden.com/,"Daily ~10am-midnight; evening hunts scheduled",,(508) 675-7333,"21+ on some hunts|Equipment OK|Respect history",https://lizzie-borden.com/tours/,haunted-house|overnight|axe-murder|ghost-hunt
villisca-axe-murder-house,Villisca Axe Murder House,508 E 2nd St,Villisca,IA,50864,USA,40.9306,-94.9733,"1912 unsolved axe murders of 8. Designed for overnight ghost hunts.",https://murderhouse.com/,"Day tours; overnights 5pm-10am",contact@murderhouse.com,(712) 250-5122,"Equipment rental available|Max 12 guests|No damage",https://murderhouse.com/overnight-stay/,haunted-house|overnight|axe-murder|ghost-hunt
the-stanley-hotel,The Stanley Hotel,333 Wonderview Ave,Estes Park,CO,80517,USA,40.3829,-105.5192,"Inspired Stephen King's The Shining. Ghosts, music, apparitions. Ghost tours and overnight investigations.",https://www.stanleyhotel.com/,"Daily tours; hotel open 24/7",live@stanleyhotel.com,(970) 577-4000,"Age varies by event|Equipment on event nights",https://www.stanleyhotel.com/activities/hotel-tours,hotel|ghost-tour|shining-inspired|paranormal
rms-queen-mary,RMS Queen Mary,1126 Queens Hwy,Long Beach,CA,90802,USA,33.7526,-118.1905,"WWII deaths and haunted staterooms (B340). Paranormal tours and overnight stays.",https://www.queenmary.com/,"Daily tours; scheduled paranormal events",,(562) 435-3511,"Guided|Closed shoes required",https://www.queenmary.com/paranormal-attractions.htm,ship|haunted-ship|paranormal-tour|overnight
trans-allegheny-lunatic-asylum,Trans-Allegheny Lunatic Asylum,71 Asylum Dr,Weston,WV,26452,USA,39.0380,-80.4670,"19th-century asylum. Shadow figures and disembodied screams reported. Year-round hunts.",https://trans-alleghenylunaticasylum.com/,"Evening and overnight hunts scheduled",info@trans-alleghenylunaticasylum.com,(304) 269-5070,"12+|Equipment OK",https://trans-alleghenylunaticasylum.com/schedule-of-events/,asylum|overnight|ghost-hunt|paranormal
waverly-hills-sanatorium,Waverly Hills Sanatorium,4400 Paralee Dr,Louisville,KY,40272,USA,38.130291,-85.841243,"Former TB hospital. Body chute and apparitions. Tours and overnight investigations.",https://www.thewaverlyhillssanatorium.com/,Scheduled hunts,,(502) 690-7880,"Equipment allowed on investigations",,asylum|tb-hospital|paranormal-investigation|ghost-hunt
eastern-state-penitentiary,Eastern State Penitentiary,2027 Fairmount Ave,Philadelphia,PA,19130,USA,39.9683,-75.1725,"1829 prison. Shadows and voices reported. Tours; limited investigations.",https://easternstate.org/,"~10am-5pm seasonal",info@easternstate.org,(215) 236-3300,"No equipment on basic tours",https://easternstate.org/tickets,prison|ghost-tour|penitentiary|limited-investigation
myrtles-plantation,Myrtles Plantation,7747 US Hwy 61,St. Francisville,LA,70775,USA,30.7530,-91.3850,"Antebellum plantation. ""Mirror of Death"" and Chloe ghost legends. Mystery tours and overnight stays.",https://www.themyrtles.com/,"Daily tours; B&B 24/7",reservations@themyrtles.com,(225) 635-6277,"Overnight guests may investigate",https://www.themyrtles.com/,plantation|overnight|mystery-tour|ghost
ohio-state-reformatory,Ohio State Reformatory,100 Reformatory Rd,Mansfield,OH,44905,USA,40.7838,-82.5017,"The Shawshank prison. Apparitions and EVPs reported. Ghost hunts and investigations.",https://www.mrps.org/,"Evening and overnight programs scheduled",kathy@mrps.org,(419) 522-2644,"18+|Equipment OK",https://www.mrps.org/paranormal-programs/,prison|overnight|shawshank|ghost-hunt
pennhurst-state-school-and-asylum,Pennhurst State School & Asylum,601 N Church St,Spring City,PA,19475,USA,40.1937,-75.5602,"Infamous institution with documented abuse history. Overnight investigations.",https://pennhurstasylum.com/,"7pm-2/3am overnights",,(484) 886-6080,"18+|Equipment OK",http://secure.interactiveticketing.com/1.43/ec53d5/,asylum|overnight|investigation|paranormal
crescent-hotel-and-spa,Crescent Hotel & Spa,75 Prospect Ave,Eureka Springs,AR,72632,USA,36.4083,-93.7372,"America's Most Haunted Hotel. Morgue, spirits, lockdowns and investigations.",https://crescent-hotel.com/,Nightly ghost tours from 7pm,reserveeureka@gmail.com,(479) 253-9766,"Guided|Equipment on event nights",https://www.reserveeureka.com/attractions/crescentghost,hotel|most-haunted|overnight|ghost-tour
whaley-house,Whaley House,2476 San Diego Ave,San Diego,CA,92110,USA,32.7527,-117.1945,"Called America's Most Haunted House. Evening tours and after-hours investigations.",https://www.whaleyhousesandiego.com/,"Day 10am-5pm; evening paranormal events",WhaleyHouse@historictours.com,(619) 273-5824,"Equipment on investigations",https://www.whaleyhousesandiego.com/san-diego-paranormal-investigation-tickets/,haunted-house|after-hours|paranormal-investigation
uss-hornet,USS Hornet,707 W Hornet Ave,Alameda,CA,94501,USA,37.7720,-122.3020,"WWII aircraft carrier. Overnights and private paranormal investigations.",https://uss-hornet.org/,Scheduled paranormal events,info@uss-hornet.org,(510) 521-8448,"Guided or private|Waivers required",https://uss-hornet.org/program-types/paranormal/,ship|overnight|wwii|paranormal
brushy-mountain-state-penitentiary,Brushy Mountain State Penitentiary,9182 Hwy 116,Petros,TN,37845,USA,36.1100,-84.4420,"Violent prison history. 4-hour and overnight investigations.",https://tourbrushy.com/,"Evening and overnight (10pm start)",,(423) 324-8687,"Guided|Equipment OK",https://tourbrushy.com/,prison|overnight|violent-history|ghost-investigation
rolling-hills-asylum,Rolling Hills Asylum,11001 Bethany Center Rd,East Bethany,NY,14054,USA,42.8810,-78.1330,"Former poor farm and asylum. Public and private hunts.",https://rollinghillsasylum.com/,Scheduled evening hunts,,(585) 502-4066,"Waivers per event",https://rollinghillsasylum.com/,asylum|poor-farm|public-hunt|private-investigation
west-virginia-penitentiary-moundsville,West Virginia Penitentiary (Moundsville),818 Jefferson Ave,Moundsville,WV,26041,USA,39.9160,-80.7420,"Gothic prison; executions and riots. Public ghost hunts.",https://wvpentours.com/,Evening hunts scheduled,,(304) 845-6200,"18+ typical",https://wvpentours.com/,prison|gothic|executions|ghost-hunt
battleship-north-carolina,Battleship North Carolina,1 Battleship Rd,Wilmington,NC,28401,USA,34.2360,-77.9540,"WWII battleship. Sailor deaths and overnight hunts.",,Scheduled overnights via partners,,,"Group events|Equipment OK",https://www.hauntedrooms.com/north-carolina/ghost-hunts/battleship-north-carolina-wilmington,ship|overnight|wwii|ghost-hunt
jennie-wade-house-gettysburg,Jennie Wade House,548 Baltimore St,Gettysburg,PA,17325,USA,39.8300,-77.2310,"Civil War civilian death site. Overnight hunts via US Ghost Adventures.",,Evenings and overnights scheduled,,,"Guided|Respect site",https://usghostadventures.com/haunted-houses/jennie-wade-birthplace/,haunted-house|civil-war|overnight|ghost-hunt
fort-mifflin,Fort Mifflin,6400 Hog Island Rd,Philadelphia,PA,19153,USA,39.8760,-75.2080,"Revolutionary War fort. Casemate investigations.",https://fortmifflin.us/,Scheduled events,fortmifflininfo@gmail.com,(856) 831-5690,"Equipment OK|Weather dependent",https://fortmifflin.us/,fort|revolutionary-war|investigation|paranormal
missouri-state-penitentiary,Missouri State Penitentiary,115 Lafayette St,Jefferson City,MO,65101,USA,38.5720,-92.1680,"Oldest prison west of the Mississippi (until 2004). 3-hour hunts and overnights.",https://missouripentours.com/,Scheduled hunts and overnights,info@missouripentours.com,(573) 632-3999,"Age restrictions vary by event",https://missouripentours.com/,prison|oldest-prison|overnight|ghost-hunt
lemp-mansion,Lemp Mansion,3322 De Menil Pl,St. Louis,MO,63118,USA,38.6150,-90.2090,"Famous for suicides and hauntings. Restaurant with ghost tours and paranormal events.",https://lempmansion.com/,"Dinner and tours; paranormal events scheduled",,(314) 664-8024,"Guided mostly|Check for investigation nights",https://lempmansion.com/,mansion|suicide-hauntings|ghost-tour|restaurant
berkeley-plantation,Berkeley Plantation,12602 Harrison Landing Rd,Charles City,VA,23030,USA,37.3220,-77.1750,"Colonial plantation. Civil War ghosts. Public ghost hunts via partners.",,Scheduled hunts via partners,,,"Group events",https://www.hauntedrooms.com/virginia/ghost-hunts/berkeley-plantation,plantation|civil-war|ghost-hunt|public
historic-palmyra-ghost-hunt,Historic Palmyra Ghost Hunt,Downtown,Palmyra,NY,14522,USA,43.0640,-77.2340,"Historic village with multiple haunted buildings. Full ghost hunts.",,Evenings and overnight via partners,,,"Equipment allowed",https://www.hauntedrooms.com/new-york/ghost-hunts/historic-palmyra,village|multiple-buildings|ghost-hunt|overnight
whispers-estate,Whispers Estate,410 Main St,Mitchell,IN,47446,USA,38.7330,-86.4600,"Victorian mansion with child-spirit reports and reported activity. Overnight hunts.",,Scheduled nights via partners,,,"18+|Waivers required",,mansion|victorian|child-spirits|overnight
landolls-mohican-castle,Landoll's Mohican Castle,5611 SR 3,Loudonville,OH,44842,USA,40.6120,-82.2330,"Stone castle with haunted cottages. Ghost walks and investigations.",https://landollsmohicancastle.com/ghosthunts/,Scheduled paranormal events,,(419) 994-3427,"Guided or private",https://landollsmohicancastle.com/ghosthunts/,castle|haunted-cottages|ghost-walk|investigation
