name,street,city,state,zip,country,latitude,longitude,description,website,hours,contact_email,contact_phone,rules,booking_url
"My Haunted Manor USA (Samuel Miller Mansion)","131 Locust St","Columbia","PA","17512","USA","40.0334","-76.5039","Historic 19th-century mansion with ongoing paranormal activity; live 24/7 cameras, public overnight ghost hunts under team guidance (filmed for series). Shared dorm cots.","https://www.myhauntedmanor.com/","Scheduled public overnights (check-in ~8:30pm, investigation to 2am, checkout ~11am)","myhauntedmanor@gmail.com","Contact form on site","18+ only; waivers; equipment OK; shared dorms; no damage","https://www.myhauntedmanor.com/book-now or private events"
"Lizzie Borden House","230 Second St","Fall River","MA","02721","USA","41.6989","-71.1562","1892 axe murder site; apparitions, footsteps, moving objects. Overnight hunts + B&B.","https://lizzie-borden.com/","Daily ~10am–midnight (evening hunts)","Contact form","(508) 675-7333","21+ some hunts; equipment OK; respect history","https://lizzie-borden.com/tours/"
"Villisca Axe Murder House","508 E 2nd St","Villisca","IA","50864","USA","40.9306","-94.9733","1912 unsolved axe murders of 8; designed for overnight ghost hunts.","https://murderhouse.com/","Day tours; overnights 5pm–10am","contact@murderhouse.com","(712) 250-5122","Equipment rental; max 12; no damage","https://murderhouse.com/overnight-stay/"
"The Stanley Hotel","333 Wonderview Ave","Estes Park","CO","80517","USA","40.3829","-105.5192","Inspired The Shining; ghosts, music, apparitions. Ghost tours & investigations.","https://www.stanleyhotel.com/","Daily tours; 24/7 hotel","live@stanleyhotel.com","(970) 577-4000","Age varies; equipment on events","https://www.stanleyhotel.com/activities/hotel-tours"
"RMS Queen Mary","1126 Queens Hwy","Long Beach","CA","90802","USA","33.7526","-118.1905","WWII deaths; haunted staterooms (B340). Paranormal tours.","https://www.queenmary.com/","Daily tours; paranormal events","Contact form","(562) 435-3511","Guided; shoes required","https://www.queenmary.com/paranormal-attractions.htm"
"Trans-Allegheny Lunatic Asylum","71 Asylum Drive","Weston","WV","26452","USA","39.038","-80.467","19th-century asylum; shadows, screams. Year-round hunts.","https://trans-alleghenylunaticasylum.com/","Evening/overnight hunts","info@trans-alleghenylunaticasylum.com","(304) 269-5070","12+; equipment OK","https://trans-alleghenylunaticasylum.com/schedule-of-events/"
"Waverly Hills Sanatorium","4400 Paralee Dr","Louisville","KY","40272","USA","38.146","-85.780","TB hospital; body chute, apparitions. Tours & investigations.","https://www.thewaverlyhillssanatorium.com/","Scheduled hunts","Contact form","(502) 690-7880","Equipment allowed on investigations","Official site/partners"
"Eastern State Penitentiary","2027 Fairmount Ave","Philadelphia","PA","19130","USA","39.9683","-75.1725","1829 prison; shadows/voices. Tours (limited investigations).","https://easternstate.org/","~10am–5pm (seasonal)","info@easternstate.org","(215) 236-3300","No equipment on basic tours","https://easternstate.org/tickets"
"Myrtles Plantation","7747 US Hwy 61","St. Francisville","LA","70775","USA","30.753","-91.385","Antebellum plantation; ""Mirror of Death,"" Chloe ghost. Mystery tours/overnight.","https://www.themyrtles.com/","Daily tours; B&B 24/7","reservations@themyrtles.com","(225) 635-6277","Overnight guests investigate","Site reservations"
"Ohio State Reformatory (Mansfield Reformatory)","100 Reformatory Rd","Mansfield","OH","44905","USA","40.7838","-82.5017","Shawshank prison; apparitions, EVPs. Ghost hunts & investigations.","https://www.mrps.org/","Evening/overnight programs","kathy@mrps.org","(419) 522-2644","18+; equipment OK","https://www.mrps.org/paranormal-programs/"
